Nothing Equipped
Leather Vambraces
Chain Vambraces
Hunter's Vambraces
Hunter's Guards
Velociprey Vambraces
Velociprey Guards
Genprey Vambraces
Genprey Guards
Ioprey Vambraces
Ioprey Guards
Rathian Vambraces
Rathian Guards
Cephalos Vambraces
Cephalos Guards
Kut-Ku Vambraces
Kut-Ku Guards
Battle Vambraces
Battle Guards
Monoblos Vambraces
Monoblos Guards
Bone Vambraces
Bone Guards
Gypceros Vambraces
Gypceros Guards
Rathalos Vambraces
Rathalos Guards
Gravios Vambraces+
Gravios Guards+
Hi-Metal Vambraces+
Hi-Metal Guards+
Diablo Vambraces+
Diablo Guards+
Auroros Gauntlets
Genesis Gauntlets
Borealis Gauntlets
Glyph Gauntlets
Vespoid Vambraces+
Vespoid Guards+
Khezu Vambraces+
Khezu Guards+
Lobster Vambraces+
Lobster Guards+
Plesioth Vambraces+
Plesioth Guards+
Hornet Vambraces+
Hornet Guards+
Dragonclaw
Dragonfist
Guild Knight Gloves
Guild Knight Sleeves
Maiden's Sleeves
Personal Sleeves
Shinobi Kote (Sun)
Shinobi Kote (Moon)
Hi-Metal Vambraces
Hi-Metal Guards
Khezu Vambraces
Khezu Guards
Lobster Vambraces
Lobster Guards
Plesioth Vambraces
Plesioth Guards
Vespoid Vambraces
Vespoid Guards
Diablo Vambraces
Diablo Guards
Hornet Vambraces
Hornet Guards
Gravios Vambraces
Gravios Guards
Steel Vambraces
Steel Vambraces+
Rathian Vambraces+
Rathian Guards+
Rathalos Vambraces+
Rathalos Guards+
Kut-Ku Vambraces+
Kut-Ku Guards+
