Nothing Equipped
Leather Armor
Chain Mail
Hunter's Mail
Hunter's Vest
Velociprey Mail
Velociprey Vest
Genprey Mail
Genprey Vest
Ioprey Mail
Ioprey Vest
Rathian Mail
Rathian Vest
Cephalos Mail
Cephalos Vest
Kut-Ku Mail
Kut-Ku Vest
Battle Mail
Battle Vest
Monoblos Mail
Monoblos Vest
Bone Mail
Bone Vest
Gypceros Mail
Gypceros Vest
Rathalos Mail
Rathalos Vest
Gravios Mail+
Gravios Vest+
Hi-Metal Mail+
Hi-Metal Vest+
Diablo Mail+
Diablo Vest+
Auroros Torso
Genesis Torso
Borealis Chest
Glyph Chest
Vespoid Mail+
Vespoid Vest+
Khezu Mail+
Khezu Vest+
Lobster Mail+
Lobster Vest+
Plesioth Mail+
Plesioth Vest+
Hornet Mail+
Hornet Vest+
Dragonhide
Dragonskin
Guild Knight Suit
Guild Knight Vest
Maiden's Vest
Personal Vest
Shinobi Suit (Sun)
Shinobi Suit (Moon)
Moss Breastplate
Hi-Metal Mail
Hi-Metal Vest
Khezu Mail
Khezu Vest
Lobster Mail
Lobster Vest
Plesioth Mail
Plesioth Vest
Vespoid Mail
Vespoid Vest
Diablo Mail
Diablo Vest
Hornet Mail
Hornet Vest
Gravios Mail
Gravios Vest
Steel Mail
Steel Mail+
Rathian Mail+
Rathian Vest+
Rathalos Mail+
Rathalos Vest+
Kut-Ku Mail+
Kut-Ku Vest+
