Nothing Equipped
Leather Helm
Chain Helm
Hunter's Helm
Hunter's Cap
Velociprey Helm
Velociprey Cap
Genprey Helm
Genprey Cap
Ioprey Helm
Ioprey Cap
Rathian Helm
Rathian Cap
Cephalos Helm
Cephalos Cap
Battle Helm
Battle Cap
Monoblos Helm
Monoblos Cap
Bone Helm
Bone Cap
Gypceros Helm
Gypceros Cap
Rathalos Helm
Rathalos Cap
Gravios Helm+
Gravios Cap+
Hi-Metal Helm+
Hi-Metal Cap+
Diablo Helm+
Diablo Cap+
Auroros Helm
Genesis Headpiece
Borealis Crown
Glyph Crown
Vespoid Helm+
Vespoid Cap+
Khezu Helm+
Khezu Cap+
Lobster Helm+
Plesioth Helm+
Plesioth Cap+
Hornet Helm+
Hornet Cap+
Dragonhead
Dragonface
Guild Knight Feather
Guild Knight Mask
Maiden's Hat
Personal Hat
Velociprey Mask
Shinobi Mask (Sun)
Shinobi Mask (Moon)
Mosswine Mask
Bullfango Mask
Skull Face
Hi-Metal Helm
Hi-Metal Cap
Khezu Helm
Khezu Cap
Lobster Helm
Plesioth Helm
Plesioth Cap
Vespoid Helm
Vespoid Cap
Diablo Helm
Diablo Cap
Hornet Helm
Hornet Cap
Gravios Helm
Gravios Cap
Rathian Helm+
Rathian Cap+
Rathalos Helm+
Rathalos Cap+
